acct	str_num	str	str_sfx	str_unit	site_addr_1	site_addr_2	site_addr_3	state_class	yr_impr	im_sq_ft	land_ar	tot_mkt_val	new_own_dt
0450230000012	1234	WESTHEIMER	RD		1234 WESTHEIMER RD	HOUSTON	77006	A1	1955	2450	6500	385000	06/14/2018
0450230000013	1236	WESTHEIMER	RD		1236 WESTHEIMER RD	HOUSTON	77006	A1	1955	2310	6500	362000	03/02/2015
0330190000041	2205	Kirby	Dr		2205 KIRBY DR	HOUSTON	77019	A1	1948	3120	8750	910000	09/28/2012
0661040000102	815	HEIGHTS	BLVD		815 HEIGHTS BLVD	HOUSTON	77007	A1	1920	1890	6600	545000	05/17/2021
1024470000015	4210	Montrose	Blvd	3	4210 MONTROSE BLVD 3	HOUSTON	77006	A4	1982	1140	0	210000	11/03/2019
1024470000016	4210	Montrose	Blvd	7	4210 MONTROSE BLVD 7	HOUSTON	77006	A4	1982	1180	0	218000	
0770880000033	6002	MEMORIAL	DR		6002 MEMORIAL DR	HOUSTON	77007	A1	1962	2875	9200	689000	07/09/2016
0891220000078	3419	Richmond	Ave		3419 RICHMOND AVE	HOUSTON	77046	F1	1979	15200	22000	2150000	
0450610000029	2814	ALABAMA	ST		2814 ALABAMA ST	HOUSTON	77004	A1		1608	5000	289000	01/24/2020
0932640000054	7106	BISSONNET	ST		7106 BISSONNET ST	HOUSTON	77074	A1	1966	1820	7405	241000	02/30/2020
0661550000011	4515	Washington	Ave		4515 WASHINGTON AVE	HOUSTON	77007	B2	2014	5230	12000	1480000	08/12/2014
0661550000090	1145	YALE	ST		1145 YALE ST	HOUSTON	77008	A1	1935	1420	6600	472000	
0661780000023	1210	Studewood	St		1210 STUDEWOOD ST	HOUSTON	77008	A1	1940	1515	6600	455000	04/06/2017
1150330000067	5822	TELEPHONE	RD		5822 TELEPHONE RD		77087	A1	1958	1244	6250	152000	10/19/2013
0250470000031	7413	Harrisburg	Blvd		7413 HARRISBURG BLVD	HOUSTON	77011	A1	1930	1112	5000	176000	12/05/2019
0250470000032	7415	HARRISBURG	BLVD		7415 HARRISBURG BLVD	HOUSTON	77011	A1	1932	ABC123	5000	168000	06/30/2022
1180940000102	9330	BELLAIRE	BLVD	215	9330 BELLAIRE BLVD 215	HOUSTON	77036	F4	1984	960	0	98000	
0410250000019	1801	Fannin	St	1904	1801 FANNIN ST 1904	HOUSTON	77002	A4	2007	1385	0	315000	02/14/2018
0410250000020	1801	Fannin	St	2011	1801 FANNIN ST 2011	HOUSTON	77002	A4	2007	1421	0	329000	09/01/2018
0520980000044	3007	MAIN	ST		3007 MAIN ST	HOUSTON	77002	F1	1927	28400	14000	3900000	
0450230000012	1234	WESTHEIMER	RD		1234 WESTHEIMER RD	HOUSTON	77006	A1	1955	2610	6500	401000	06/14/2018
0980120000073	11207	Sagepark	Ln		11207 SAGEPARK LN	HOUSTON	77089	A1	1974	1688	7800	198000	03/23/2016
0740330000056	5306	POLK	ST		5306 POLK ST	HOUSTON	77023	A1	1946	1030	5000	187000	
0350170000088	2119	Dunlavy	St		2119 DUNLAVY ST	HOUSTON	77006	A1	1938	1755	5500	560000	07/30/2015
0661900000035	515	WAUGH	DR		515 WAUGH DR	HOUSTON	77019	F2	1971	8420	18500	1620000	11/11/2011
