Web eReport
From: 2026/07/13 
To : 2026/07/20 

Zip Code,Permit Date,Permit Type,Project No,Address,Comments
77025,2026/07/13,Building Pmt,26030001,4210 BLUEBONNET ST,EXAMPLESON RESIDENCE REMODEL 1-1-5-R3-B 2021 IRC
77025,2026/07/13,Building Pmt,26030001,4210 BLUEBONNET ST,EXAMPLESON RESIDENCE REMODEL 1-1-5-R3-B 2021 IRC
77025,2026/07/13,Building Pmt,26030001,4210 BLUEBONNET ST,REVISED: EXAMPLESON RESIDENCE REMODEL PER SPEC LIST 2021 IRC
77025,2026/07/14,Demolition,26030002,4210 BLUEBONNET STREET,DEMO SHED/SEWER DISC
77004,2026/07/15,Building Pmt,26030003,9821 GRANITE FALLS CT,S.F. RES W/ATT. GARAGE (1-2-5-R3-B) 21 IRC/21 IECC
77007,N/A,Building Pmt,26030004,1502 MAGNOLIA PARK DR,RESIDENTIAL REPAIR PER SPEC LIST 2021 IRC
77019,2026/07/16,OCC-BLDG PMT,26030005,700 SHEPHERD SQUARE PLAZA,CHANGE OF USE TO RETAIL 1-1-2-M-B 2021 IBC
77008,2026/07/16,Building Pmt,26030006,,"MINOR RESIDENTIAL REPAIRS, SINGLE FAMILY RESIDENTIAL"
77002,2026/07/17,Building Pmt,26030007,1400 CAROLINE PLAZA LVL 3,OFFICE REMODEL 1-11-1-B-B '21 IBC SP/FA
77096,2026/07/17,Demolition,26030008,5638 WIGTON CIR,DEMO RES/SEWER DISC
77345,2026/07/18,Building Pmt,26030009,3110 KINGWOOD GREENS CT,NEW RESIDENTIAL SOLAR PANELS 2021 IRC
77042,2026/07/19,Sign Bldg Pmt,26030010,11220 BRIAR ROSE WALK,GENERATOR SET INSTALLATION 2021 IBC
* Information provided to City by applicant on the building permit. The City does not confirm or verify statement
"by applicant. If you believe the project does not meet the deed restrictions for this property, please contact "
the City of Houston's Deed Restriction Hotline at 713.437.6769.
